Date,Microsoft,Google,Apple,Netflix,Amazon,Meta
12/28/2023,375.28,141.28,193.58,490.51,153.38,358.32
12/27/2023,374.07,141.44,193.15,491.79,153.34,357.83
12/26/2023,374.66,142.82,193.05,491.19,153.41,354.83
12/22/2023,374.58,142.72,193.6,486.76,153.42,353.39
12/21/2023,373.54,141.8,194.68,491.61,153.84,354.09
12/20/2023,370.62,139.66,194.83,489.27,152.12,349.28
12/19/2023,373.26,138.1,196.94,495.02,153.79,350.36
12/18/2023,372.65,137.19,195.89,486.12,154.07,344.62
12/15/2023,370.73,133.84,197.57,472.06,149.97,334.92
12/14/2023,365.93,133.2,198.11,469.83,147.42,333.17
12/13/2023,374.37,133.97,197.96,479.98,148.84,334.74
12/12/2023,374.38,133.64,194.71,463,147.48,334.22
12/11/2023,371.3,134.7,193.18,459.89,145.89,325.28
12/08/2023,374.23,136.64,195.71,453.76,147.42,332.75
12/07/2023,370.95,138.45,194.27,452,146.88,326.59
12/06/2023,368.8,131.43,192.32,446.73,144.52,317.45
12/05/2023,372.52,132.39,193.42,455.15,146.88,318.29
12/04/2023,369.14,130.63,189.43,453.9,144.84,320.02
12/01/2023,374.51,133.32,191.24,465.74,147.03,324.82
11/30/2023,378.91,133.92,189.95,473.97,146.09,327.15
11/29/2023,378.85,136.4,189.37,477.19,146.32,332.2
11/28/2023,382.7,138.62,190.4,479,147.03,338.99
11/27/2023,378.61,138.05,189.79,479.17,147.73,334.7
11/24/2023,377.43,138.22,189.97,479.56,146.74,338.23
11/22/2023,377.85,140.02,191.31,478,146.71,341.49
11/21/2023,373.07,138.62,190.64,474.95,143.9,336.98
11/20/2023,377.44,137.92,191.45,474.47,146.13,339.97
11/17/2023,369.85,136.94,189.69,465.91,145.18,335.04
11/16/2023,376.17,138.7,189.71,466.95,142.83,334.19
11/15/2023,369.67,136.38,188.01,461.94,143.2,332.71
11/14/2023,370.27,135.43,187.44,448.65,145.8,336.31
11/13/2023,366.68,133.64,184.8,444.62,142.59,329.19
11/10/2023,369.67,134.06,186.4,447.24,143.56,328.77
11/09/2023,360.69,131.69,182.41,435.15,140.6,320.55
11/08/2023,363.2,133.26,182.89,436.65,142.08,319.78
11/07/2023,360.53,132.4,181.82,434.61,142.71,318.82
11/06/2023,356.53,131.45,179.23,434.74,139.74,315.8
11/03/2023,352.8,130.37,176.65,432.36,138.6,314.6
11/02/2023,348.32,128.58,177.57,424.71,138.07,310.87
11/01/2023,346.07,127.57,173.97,420.19,137,311.85
10/31/2023,338.11,125.3,170.77,411.69,133.09,301.27
10/30/2023,337.31,125.75,170.29,410.08,132.71,302.66
10/27/2023,329.81,123.4,168.22,397.87,127.74,296.73
10/26/2023,327.89,123.44,166.89,403.54,119.57,288.35
10/25/2023,340.67,126.67,171.1,411.25,121.39,299.53
10/24/2023,330.53,140.12,173.44,413.73,128.56,312.55
10/23/2023,329.32,137.9,173,406.84,126.56,314.01
10/20/2023,326.67,136.74,172.88,400.96,125.17,308.65
10/19/2023,331.32,138.98,175.46,401.77,128.4,312.81
10/18/2023,330.11,139.28,175.84,346.19,128.13,316.97
10/17/2023,332.06,140.99,177.15,355.72,131.47,324
10/16/2023,332.64,140.49,178.72,360.82,132.55,321.15
10/13/2023,327.73,138.58,178.85,355.68,129.79,314.69
10/12/2023,331.16,140.29,180.71,361.2,132.33,324.16
10/11/2023,332.42,141.7,179.8,365.93,131.83,327.82
10/10/2023,328.39,139.2,178.39,373.32,129.48,321.84
10/09/2023,329.82,139.5,178.99,385.95,128.26,318.36
10/06/2023,327.26,138.73,177.49,381.51,127.96,315.43
10/05/2023,319.36,135.99,174.91,372.59,125.96,304.79
10/04/2023,318.955,136.27,173.66,376.9,127,305.58
10/03/2023,313.39,133.3,172.4,376.75,124.72,300.94
10/02/2023,321.8,135.17,173.75,380.33,129.46,306.82
09/29/2023,315.75,131.85,171.21,377.6,127.12,300.21
09/28/2023,313.64,133.13,170.69,376.36,125.98,303.96
09/27/2023,312.79,131.46,170.43,377.59,125.98,297.74
09/26/2023,312.14,129.45,171.96,379.25,125.98,298.96
09/25/2023,317.54,132.17,176.08,384.8,131.27,300.83
09/22/2023,317.01,131.25,174.79,379.81,129.12,299.08
09/21/2023,319.53,131.36,173.93,384.15,129.33,295.73
09/20/2023,320.77,134.59,175.49,386.3,135.29,299.67
09/19/2023,328.65,138.83,179.07,396.2,137.63,305.07
09/18/2023,329.06,138.96,177.97,394.4,139.98,302.55
09/15/2023,330.22,138.3,175.01,396.94,140.39,300.31
09/14/2023,338.7,138.99,175.74,400.49,144.72,311.72
09/13/2023,336.06,137.5,174.21,412.24,144.85,305.06
09/12/2023,331.77,136.07,176.3,434.69,141.23,301.66
09/11/2023,337.94,137.74,179.36,445.36,143.1,307.56
09/08/2023,334.27,137.2,178.18,442.8,138.23,297.89
09/07/2023,329.91,136.2,177.56,443.14,137.85,298.67
09/06/2023,332.88,135.37,182.91,445.76,135.36,299.17
09/05/2023,333.55,136.71,189.7,448.68,137.27,300.15
09/01/2023,328.66,136.8,189.46,439.88,138.12,296.38
08/31/2023,327.76,137.35,187.87,433.68,138.01,295.89
08/30/2023,328.79,136.93,187.65,434.67,135.07,295.1
08/29/2023,328.41,135.49,184.12,429.99,134.91,297.99
08/28/2023,323.7,131.79,180.19,418.06,133.14,290.26
08/25/2023,322.98,130.69,178.61,416.03,133.26,285.5
08/24/2023,319.97,130.42,176.38,406.93,131.84,286.75
08/23/2023,327,133.21,181.12,427.55,135.52,294.24
08/22/2023,322.46,129.69,177.23,413.17,134.25,287.6
08/21/2023,321.88,128.93,175.84,408.29,134.68,289.9
08/18/2023,316.48,128.11,174.49,404.53,133.22,283.25
08/17/2023,316.88,130.46,174,403,133.98,285.09
08/16/2023,320.4,129.11,176.57,415.45,135.07,294.29
08/15/2023,321.86,130.27,177.45,423.7,137.67,301.95
08/14/2023,324.04,131.83,179.46,427.78,140.57,306.19
08/11/2023,321.01,130.17,177.79,421.66,138.41,301.64
08/10/2023,322.93,130.21,177.97,429.98,138.56,305.74
08/09/2023,322.23,130.15,178.19,428.9,137.85,305.21
08/08/2023,326.05,131.84,179.8,438.3,139.94,312.64
08/07/2023,330.11,131.94,178.85,440.76,142.22,316.56
08/04/2023,327.78,128.54,181.99,431.6,139.57,310.73
08/03/2023,326.66,128.77,191.17,431,128.91,313.19
08/02/2023,327.5,128.64,192.58,429.7,128.21,314.31
08/01/2023,336.34,131.89,195.605,438.62,131.69,322.71
07/31/2023,335.92,133.11,196.45,438.97,133.68,318.6
07/28/2023,338.37,133.01,195.83,425.78,132.21,325.48
07/27/2023,330.72,129.87,193.22,413.17,128.25,311.71
07/26/2023,337.77,129.66,194.5,422.67,128.15,298.57
07/25/2023,350.98,122.79,193.62,427.7,129.13,294.47
07/24/2023,345.11,121.88,192.75,428.37,128.8,291.61
07/21/2023,343.77,120.31,191.94,427.5,130,294.26
07/20/2023,346.87,119.53,193.13,437.42,129.96,302.52
07/19/2023,355.08,122.78,195.1,477.59,135.36,316.01
07/18/2023,359.49,124.08,193.73,474.8,132.83,312.05
07/17/2023,345.73,125.06,193.99,450.05,133.56,310.62
07/14/2023,345.24,125.7,190.69,441.91,134.68,308.87
07/13/2023,342.66,124.83,190.54,450.38,134.3,313.41
07/12/2023,337.2,119.62,189.77,444.05,130.8,309.34
07/11/2023,332.47,117.71,188.08,440.21,128.78,298.29
07/10/2023,331.83,116.87,188.61,441.71,127.13,294.1
07/07/2023,337.22,120.14,190.68,438.1,129.78,290.53
07/06/2023,341.27,120.93,191.81,438.84,128.36,291.99
07/05/2023,338.15,122.63,191.33,445.9,130.38,294.37
07/03/2023,337.99,120.56,192.46,441.44,130.22,286.02
06/30/2023,340.54,120.97,193.97,440.49,130.36,286.98
06/29/2023,335.05,120.01,189.59,428.24,127.9,281.53
06/28/2023,335.85,121.08,189.25,429.84,129.04,285.29
06/27/2023,334.57,119.01,188.06,417.08,129.18,287.05
06/26/2023,328.6,119.09,185.27,415.94,127.33,278.47
06/23/2023,335.02,123.02,186.68,424.02,129.33,288.73
06/22/2023,339.71,123.87,187,422.48,130.15,284.88
06/21/2023,333.56,121.26,183.96,424.45,124.83,281.64
06/20/2023,338.05,123.85,185.01,434.7,125.78,284.33
06/16/2023,342.33,124.06,184.92,431.96,125.49,281
06/15/2023,348.1,125.79,186.01,445.27,127.11,281.83
06/14/2023,337.34,124.38,183.95,440.86,126.42,273.35
06/13/2023,334.29,124.43,183.31,435.73,126.66,271.32
06/12/2023,331.85,124.35,183.79,423.97,126.57,271.05
06/09/2023,326.79,122.87,180.96,420.02,123.43,264.95
06/08/2023,325.26,122.67,180.57,409.37,124.25,264.58
06/07/2023,323.38,122.94,177.82,399.77,121.23,263.6
06/06/2023,333.68,127.91,179.21,399.29,126.61,271.12
06/05/2023,335.94,126.63,179.58,403.54,125.3,271.39
06/02/2023,335.4,125.23,180.95,400.47,124.25,272.61
06/01/2023,332.58,124.37,180.09,403.13,122.77,272.61
05/31/2023,328.39,123.37,177.25,395.23,120.58,264.72
05/30/2023,331.21,124.64,177.3,392.98,121.66,262.52
05/26/2023,332.89,125.43,175.43,378.88,120.11,262.04
